REGION,TECHNOLOGY,VALUE
REGION1,DEELFRPH1,31.536
REGION1,DEELLUPH1,31.536
REGION1,DEELNLPH1,31.536
REGION1,DEELNOPH1,31.536
REGION1,DEELPLPH1,31.536
REGION1,DEELSEPH1,31.536
REGION1,DEGOCVPH2,31.536
REGION1,DEHFCCPH2,31.536
REGION1,DEHFCHPH3,31.536
REGION1,DEHFGCPH3,31.536
REGION1,DEHFGCPN3,31.536
REGION1,DEHFHPFH1,31.536
REGION1,DEHFHPPH2,31.536
REGION1,DEHFSTPH2,31.536
REGION1,DEHFSTPH3,31.536
REGION1,DEHYDMPH0,31.536
REGION1,DEHYDMPH1,31.536
REGION1,DEHYDMPH2,31.536
REGION1,DEHYDMPH3,31.536
REGION1,DEHYDSPH2,31.536
REGION1,DEHYDSPH3,31.536
REGION1,DENGCCPH2,31.536
REGION1,DENGCHPH3,31.536
REGION1,DENGCHPN3,31.536
REGION1,DENGCSPN2,31.536
REGION1,DENGFCFH1,31.536
REGION1,DENGGCPH2,31.536
REGION1,DENGGCPN2,31.536
REGION1,DENGHPFH1,31.536
REGION1,DENGHPPH2,31.536
REGION1,DENGSTPH2,31.536
REGION1,DENUG2PH3,31.536
REGION1,DEOCWVPH1,31.536
REGION1,DESODIFH1,31.536
REGION1,DESOUTPH2,31.536
REGION1,DEWIOFPH3,31.536
REGION1,DEWIOFPN2,31.536
REGION1,DEWIOFPN3,31.536
REGION1,DEWIONPH3,31.536
REGION1,DEWIONPN3,31.536
REGION1,DEWSCHPH2,31.536
REGION1,DEWSSTPH1,31.536
REGION1,DKBFHPFH1,31.536
REGION1,DKBMCCPH1,31.536
REGION1,DKBMCHPH3,31.536
REGION1,DKBMCSPN2,31.536
REGION1,DKBMSTPH3,31.536
REGION1,DKCOCHPH3,31.536
REGION1,DKCOCSPN2,31.536
REGION1,DKCOSTPH1,31.536
REGION1,DKCOSTPH3,31.536
REGION1,DKELNLPH1,31.536
REGION1,DKELNOPH1,31.536
REGION1,DKELSEPH1,31.536
REGION1,DKGOCVPH2,31.536
REGION1,DKHFCCPH2,31.536
REGION1,DKHFCHPH3,31.536
REGION1,DKHFGCPH3,31.536
REGION1,DKHFGCPN3,31.536
REGION1,DKHFHPFH1,31.536
REGION1,DKHFHPPH2,31.536
REGION1,DKHFSTPH2,31.536
REGION1,DKHFSTPH3,31.536
REGION1,DKHYDMPH0,31.536
REGION1,DKHYDMPH1,31.536
REGION1,DKHYDMPH2,31.536
REGION1,DKHYDMPH3,31.536
REGION1,DKNGCCPH2,31.536
REGION1,DKNGCHPH3,31.536
REGION1,DKNGCHPN3,31.536
REGION1,DKNGCSPN2,31.536
REGION1,DKNGFCFH1,31.536
REGION1,DKNGGCPH2,31.536
REGION1,DKNGGCPN2,31.536
REGION1,DKNGHPFH1,31.536
REGION1,DKNGHPPH2,31.536
REGION1,DKNGSTPH2,31.536
REGION1,DKOCWVPH1,31.536
REGION1,DKSODIFH1,31.536
REGION1,DKSOUTPH2,31.536
REGION1,DKWIOFPH3,31.536
REGION1,DKWIOFPN2,31.536
REGION1,DKWIOFPN3,31.536
REGION1,DKWIONPH3,31.536
REGION1,DKWSCHPH2,31.536
REGION1,DKWSSTPH1,31.536
REGION1,EEBFHPFH1,31.536
REGION1,EEBMCCPH1,31.536
REGION1,EEBMCHPH3,31.536
REGION1,EEBMCSPN2,31.536
REGION1,EEBMSTPH3,31.536
REGION1,EECOCHPH3,31.536
REGION1,EECOCSPN2,31.536
REGION1,EECOSTPH1,31.536
REGION1,EECOSTPH3,31.536
REGION1,EEELFIPH1,31.536
REGION1,EEELLVPH1,31.536
REGION1,EEGOCVPH2,31.536
REGION1,EEHFCCPH2,31.536
REGION1,EEHFCHPH3,31.536
REGION1,EEHFGCPH3,31.536
REGION1,EEHFGCPN3,31.536
REGION1,EEHFHPFH1,31.536
REGION1,EEHFHPPH2,31.536
REGION1,EEHFSTPH2,31.536
REGION1,EEHFSTPH3,31.536
REGION1,EEHYDMPH0,31.536
REGION1,EEHYDMPH1,31.536
REGION1,EEHYDMPH2,31.536
REGION1,EEHYDMPH3,31.536
REGION1,EENGCCPH2,31.536
REGION1,EENGCHPH3,31.536
REGION1,EENGCHPN3,31.536
REGION1,EENGCSPN2,31.536
REGION1,EENGFCFH1,31.536
REGION1,EENGGCPH2,31.536
REGION1,EENGGCPN2,31.536
REGION1,EENGHPFH1,31.536
REGION1,EENGHPPH2,31.536
REGION1,EENGSTPH2,31.536
REGION1,EEOCWVPH1,31.536
REGION1,EESODIFH1,31.536
REGION1,EESOUTPH2,31.536
REGION1,EEWIOFPN3,31.536
REGION1,EEWIONPH3,31.536
REGION1,EEWSCHPH2,31.536
REGION1,EEWSSTPH1,31.536
REGION1,ESBFHPFH1,31.536
REGION1,ESBMCCPH1,31.536
REGION1,ESBMCHPH3,31.536
REGION1,ESBMCSPN2,31.536
REGION1,ESBMSTPH3,31.536
REGION1,ESCOCHPH3,31.536
REGION1,ESCOCSPN2,31.536
REGION1,ESCOSTPH1,31.536
REGION1,ESCOSTPH3,31.536
REGION1,ESELFRPH1,31.536
REGION1,ESELPTPH1,31.536
REGION1,ESGOCVPH2,31.536
REGION1,ESHFCCPH2,31.536
REGION1,ESHFCHPH3,31.536
REGION1,ESHFGCPH3,31.536
REGION1,ESHFGCPN3,31.536
REGION1,ESHFHPFH1,31.536
REGION1,ESHFHPPH2,31.536
REGION1,ESHFSTPH2,31.536
REGION1,ESHFSTPH3,31.536
REGION1,ESHYDMPH0,31.536
REGION1,ESHYDMPH1,31.536
REGION1,ESHYDMPH2,31.536
REGION1,ESHYDMPH3,31.536
REGION1,ESHYDSPH2,31.536
REGION1,ESHYDSPH3,31.536
REGION1,ESNGCCPH2,31.536
REGION1,ESNGCHPH3,31.536
REGION1,ESNGCHPN3,31.536
REGION1,ESNGCSPN2,31.536
REGION1,ESNGFCFH1,31.536
REGION1,ESNGGCPH2,31.536
REGION1,ESNGGCPN2,31.536
REGION1,ESNGHPFH1,31.536
REGION1,ESNGHPPH2,31.536
REGION1,ESNGSTPH2,31.536
REGION1,ESNUG2PH3,31.536
REGION1,ESNUG3PN3,31.536
REGION1,ESOCWVPH1,31.536
REGION1,ESSODIFH1,31.536
REGION1,ESSOUTPH2,31.536
REGION1,ESWIOFPN3,31.536
REGION1,ESWIONPH3,31.536
REGION1,ESWIONPN3,31.536
REGION1,ESWSCHPH2,31.536
REGION1,ESWSSTPH1,31.536
REGION1,FIBFHPFH1,31.536
