REGION,TECHNOLOGY,VALUE
REGION1,EEHFSTPH2,30.0
REGION1,EEHFSTPH3,30.0
REGION1,EEHYDMPH0,80.0
REGION1,EEHYDMPH1,80.0
REGION1,EEHYDMPH2,80.0
REGION1,EEHYDMPH3,80.0
REGION1,EENGCCPH2,30.0
REGION1,EENGCHPH3,25.0
REGION1,EENGCHPN3,25.0
REGION1,EENGCSPN2,30.0
REGION1,EENGFCFH1,5.0
REGION1,EENGGCPH2,25.0
REGION1,EENGGCPN2,25.0
REGION1,EENGHPFH1,20.0
REGION1,EENGHPPH2,20.0
REGION1,EENGSTPH2,30.0
REGION1,EEOCWVPH1,25.0
REGION1,EESODIFH1,25.0
REGION1,EESOUTPH2,25.0
REGION1,EEWIOFPN3,25.0
REGION1,EEWIONPH3,25.0
REGION1,EEWSCHPH2,25.0
REGION1,EEWSSTPH1,30.0
REGION1,ESBFHPFH1,20.0
REGION1,ESBMCCPH1,30.0
REGION1,ESBMCHPH3,30.0
REGION1,ESBMCSPN2,35.0
REGION1,ESBMSTPH3,30.0
REGION1,ESCOCHPH3,25.0
REGION1,ESCOCSPN2,40.0
REGION1,ESCOSTPH1,30.0
REGION1,ESCOSTPH3,30.0
REGION1,ESGOCVPH2,40.0
REGION1,ESHFCCPH2,30.0
REGION1,ESHFCHPH3,25.0
REGION1,ESHFGCPH3,25.0
REGION1,ESHFGCPN3,25.0
REGION1,ESHFHPFH1,20.0
REGION1,ESHFHPPH2,20.0
REGION1,ESHFSTPH2,30.0
REGION1,ESHFSTPH3,30.0
REGION1,ESHYDMPH0,80.0
REGION1,ESHYDMPH1,80.0
REGION1,ESHYDMPH2,80.0
REGION1,ESHYDMPH3,80.0
REGION1,ESHYDSPH2,80.0
REGION1,ESHYDSPH3,80.0
REGION1,ESNGCCPH2,30.0
REGION1,ESNGCHPH3,25.0
REGION1,ESNGCHPN3,25.0
REGION1,ESNGCSPN2,30.0
REGION1,ESNGFCFH1,5.0
